"filename", "language", "JavaScript", "Vue", "comment", "blank", "total"
"c:\Users\70420\Desktop\vue_select_class\src\App.vue", "Vue", 0, 3, 0, 5, 8
"c:\Users\70420\Desktop\vue_select_class\src\pages\err\index.vue", "Vue", 0, 28, 0, 7, 35
"c:\Users\70420\Desktop\vue_select_class\src\router\admin\index.js", "JavaScript", 4, 0, 0, 0, 4
"c:\Users\70420\Desktop\vue_select_class\src\router\index.js", "JavaScript", 11, 0, 0, 2, 13
"c:\Users\70420\Desktop\vue_select_class\src\router\teach\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\70420\Desktop\vue_select_class\src\router\user\index.js", "JavaScript", 1, 0, 0, 0, 1
"c:\Users\70420\Desktop\vue_select_class\src\util\rules.js", "JavaScript", 21, 0, 0, 0, 21
"c:\Users\70420\Desktop\vue_select_class\src\views\admin\addStudent\index.vue", "Vue", 0, 132, 0, 0, 132
"c:\Users\70420\Desktop\vue_select_class\src\views\admin\updataStudent\index.vue", "Vue", 0, 169, 0, -2, 167
"Total", "-", 38, 332, 0, 12, 382
